1,0,0,0,1,1,0,4
2,0,0,4,8,31,1,38
3,11,5,28,14,295,1,372
4,24,19,54,46,776,11,1179
5,24,35,99,92,1055,13,1534
6,24,24,71,119,1214,20,1793
7,30,14,62,249,1052,37,1368
8,7,27,90,397,708,56,1035
9,9,23,112,718,644,48,921
10,15,26,105,698,467,20,736
11,10,19,72,588,386,23,634
12,19,25,70,629,264,17,490
13,18,24,66,470,239,12,329
14,15,16,83,377,220,6,299
15,9,11,37,231,145,1,223
16,12,11,26,162,146,4,272
17,25,20,101,234,166,2,291
18,31,58,208,450,360,12,481
19,52,35,140,567,367,15,559
20,38,23,128,608,505,10,710
21,46,38,114,462,632,19,653
22,44,38,110,471,717,20,689
23,31,37,84,423,793,24,794
24,17,23,93,325,848,15,870
25,21,22,83,286,843,20,835
26,27,24,74,355,722,51,890
27,48,26,115,336,565,29,720
28,72,33,426,309,452,29,717
29,40,40,703,377,360,21,699
30,57,46,389,495,438,18,632
31,51,79,223,645,621,38,652
32,57,59,195,666,647,24,639
33,84,108,279,1039,899,42,936
34,119,166,268,1239,1012,60,1019
35,198,184,327,1962,1385,81,1639
36,260,273,506,2757,2255,153,2402
37,405,395,911,4277,3871,264,3866
38,454,539,1201,5150,4901,344,4715
39,284,431,1003,3872,4855,309,4930
40,254,460,909,3097,4378,311,4644
41,330,464,994,3035,3883,300,4381
42,259,296,825,2257,2566,166,3036
43,230,244,608,1664,1767,177,2491
44,205,264,560,1436,1513,147,1830
45,159,305,578,1593,1418,127,1961
46,213,240,527,1460,1375,162,1865
47,117,139,365,595,643,68,1163
